experiment_group,problem,name,scenario,risk_lambda,alpha,plan_cost,emergency_cost,total_cost,emergency_kwh,events,throughput,terminal_soc,violations,daily_q95,daily_max,runtime_s,pv_updates,price_updates,adjustment_cost,adjustment_kwh,quantile,price_model,model,MAE,RMSE,bias,q95_abs_error,method,status,fallback
economic,Q4-2,joint_structure,independent,0,0.95,13742093.619662004,1588440.6567172229,15330534.276379226,257528.52456826728,409,11929352.687199887,6931.241899073778,0,76027.47196068631,120701.75464841339,26.10340880000149,,,,,,,,,,,,,,
economic,Q4-2,joint_structure,joint_block,0,0.95,13517053.443729714,1642552.1219493314,15159605.565679045,264229.09564565093,402,11907880.854656039,6744.178841524242,0,74232.84166357561,130108.61176589204,29.859335599998303,,,,,,,,,,,,,,
economic,Q4-2,joint_structure,multivariate_gaussian,0,0.95,13560275.018439097,1563152.9092225628,15123427.92766166,252887.04284492315,444,11814345.038719928,6799.451462805818,0,74768.7161502199,127769.07617023695,37.923784599996,,,,,,,,,,,,,,
economic,Q4-2,joint_structure,gaussian_copula,0,0.95,13463401.934905374,1880533.5034746262,15343935.43838,302624.28359108954,485,11835128.3935993,6862.9190172683075,0,78883.43147978361,130972.23051382255,28.31665900000371,,,,,,,,,,,,,,
economic,Q4-2,joint_structure,vine_copula,0,0.95,13469054.21467475,1830513.5353552902,15299567.750030039,294442.48264180444,491,11838175.680280479,6905.390007061084,0,76461.83911515852,112965.48277266583,28.373700399999507,,,,,,,,,,,,,,
economic,Q4-2,joint_structure,conditional_regime,0,0.95,13517053.443729714,1642552.1219493314,15159605.565679045,264229.09564565093,402,11907880.854656039,6744.178841524242,0,74232.84166357561,130108.61176589204,37.17501790000097,,,,,,,,,,,,,,
economic,Q4-2,deterministic,joint_block,0,0.95,12971073.76361297,3054683.578788529,16025757.3424015,488679.6737330618,661,11889059.483757922,6013.84598181857,0,84314.96839641704,133328.24925887576,3.586687700000766,,,,,,,,,,,,,,
economic,Q4-2,robust,joint_block,0,0.95,15354874.715485074,122563.76295920364,15477438.478444276,19080.659500520782,68,10879701.389759714,7431.655705039609,0,76858.88254813061,80350.59595064192,3.434363799999119,,,,,,,,,,,,,,
economic,Q4-2,DRO_tail,joint_block,0,0.95,14089820.043469189,984281.3980176336,15074101.441486822,168235.43389532145,353,11762273.941518052,6810.0572668354525,0,74481.98648701736,112236.73192247134,30.698405600000115,,,,,,,,,,,,,,
economic,Q4-2,CVaR,joint_block,0.02,0.9,13539021.96285057,1621932.9466386712,15160954.909489242,260585.854033972,402,11917224.047561128,6745.481174289026,0,74229.69370355608,130011.29371710923,39.32526159999543,,,,,,,,,,,,,,
economic,Q4-2,CVaR,joint_block,0.1,0.9,13792911.11288065,1297787.0438846343,15090698.156765286,212283.16330367583,382,12001145.304984048,6747.067580519139,0,74940.99427695798,127731.67745557684,41.90474969999923,,,,,,,,,,,,,,
economic,Q4-2,CVaR,joint_block,0.3,0.9,14123192.110394727,943349.2467387102,15066541.357133437,159244.23334061142,341,11760121.510593425,6867.581998296582,0,74967.0514311337,112466.07437645132,39.085813400000916,,,,,,,,,,,,,,
economic,Q4-2,CVaR,joint_block,0.02,0.95,13538998.134487713,1622500.0986197763,15161498.233107489,260700.15767314448,401,11916314.323294463,6745.481174289027,0,74226.61282894565,130011.29134879076,44.62705690000439,,,,,,,,,,,,,,
economic,Q4-2,CVaR,joint_block,0.1,0.95,13806948.721061474,1266811.491617589,15073760.212679064,208533.78234385882,382,12019549.163601823,6811.2575758775965,0,74949.85188428118,127731.67745557684,38.31836250000197,,,,,,,,,,,,,,
economic,Q4-2,CVaR,joint_block,0.3,0.95,14148142.672560653,888675.2320842338,15036817.904644886,150187.89189526188,335,11758631.284665393,6812.8198408935805,0,74781.98297257003,112466.07437645132,49.21951889999764,,,,,,,,,,,,,,
